title,article_url,date,time,section,excerpt,author
Συνάντηση Κικίλια με εποχικούς πυροσβέστες,https://www.kathimerini.gr/society/563310334/synantisi-kikilia-me-epochikoys-pyrosvestes/,2024-11-07,,ΚΟΙΝΩΝΙΑ,Τι αναφέρει η έκθεση της WWF για τις καμένες εκτάσεις του 2023.,
Πόσο μεγάλος είναι ο κίνδυνος για πλημμύρες όπως στη Βαλένθια;,https://www.kathimerini.gr/world/563303422/poso-megalos-einai-o-kindynos-gia-plimmyres-opos-sti-valenthia/,2024-11-02,,ΚΟΙΝΩΝΙΑ,Τον κώδωνα του κινδύνου κρούει η επιστημονική κοινότητα υπό τον φόβο αύξησης της συχνότητας εκδήλωσης φαινομένων όπως οι φονικές πλημμύρες που έπληξαν τη Βαλένθια.,
150 μέρες στο πύρινο μέτωπο,https://www.kathimerini.gr/k/k-magazine/563299708/150-meres-sto-pyrino-metopo/,2024-11-06,,ΠΕΡΙΟΔΙΚΟ «Κ»,"Η φωτογράφος Αλεξάντρα Ρόουζ Χάουλαντ έχει γίνει σκιά των εθελοντών πυροσβεστών της Ροδόπολης εδώ και πέντε μήνες, καταγράφοντας από κοντά τις ηρωικές προσπάθειές τους ενάντια στις φλόγες, στους ανέμους και στην «αργή βία» της κλιματικής κρίσης.",
Μία βόλτα στην Αθήνα του 2034,https://www.kathimerini.gr/life/city/563297455/mia-volta-stin-athina-toy-2034/,2024-11-02,,ΠΟΛΗ,"Πώς θα είναι η ελληνική πρωτεύουσα σε 10 χρόνια; Με αφορμή την Παγκόσμια Ημέρα Πόλεων, συνομιλήσαμε με ειδικούς ζητώντας τους να μας περιγράψουν την Αθήνα του 2034 με βάση τα στοιχεία και τα έργα που είναι σήμερα σε εξέλιξη.",
Μια ζωή από εκατομμύρια οπτικές γωνίες,https://www.kathimerini.gr/culture/563293120/mia-zoi-apo-ekatommyria-optikes-gonies/,2024-10-27,,ΠΟΛΙΤΙΣΜΟΣ,Το ντοκιμαντέρ για τον Μπράιαν Ινο δεν μπορούσε να είναι μονοδιάστατο.,
Ολοι εναντίον όλων στη Βουλή,https://www.kathimerini.gr/politics/563287165/oloi-enantion-olon-sti-voyli-2/,2024-10-23,,ΠΟΛΙΤΙΚΗ,"Σε υψηλούς τόνους η συζήτηση των πολιτικών αρχηγών, στην προ ημερησίας διατάξεως συζήτηση για τον απολογισμό της φετινής αντιπυρικής περιόδου. Η αποχώρηση Μητσοτάκη στις ομιλίες Παππά και η αντιπαράθεση με τον Ανδρουλάκη για την «έξοδο από το Μαξίμου».",
Μητσοτάκης: Λιγότερα καμένα στρέμματα στη δυσκολότερη αντιπυρική περίοδο,https://www.kathimerini.gr/politics/563286535/mitsotakis-ligotera-kammena-stremmata-sti-dyskoloteri-antipyriki-periodo/,2024-10-23,,ΒΟΥΛΗ,"«Φέτος ήταν η πιο δύσκολη χρονιά των τελευταίων 40 ετών σε επίπεδο συνθηκών» – «Κύριε Ανδρουλάκη, η κλιματική κρίση δεν είναι άλλοθι, είναι μια πραγματικότητα».",
Πώς η κλιματική αλλαγή επηρεάζει την ευημερία των παιδιών,https://www.kathimerini.gr/society/563279782/pos-i-klimatiki-allagi-epireazei-tin-eyimeria-ton-paidion/,2024-10-19,,ΚΟΙΝΩΝΙΑ,"Οι καταστροφές διαταράσσουν τη σταθερότητα που έχουν ανάγκη, ειδικά μέχρι να κλείσουν τα τρία τους χρόνια, τονίζεται στην έκθεση της UNICEF σε συνεργασία με το ΕΛΙΑΜΕΠ.",
«Να βοηθήσουμε να σωθεί έστω κι ένα δέντρο»,https://www.kathimerini.gr/society/563267899/na-voithisoyme-na-sothei-esto-ki-ena-dentro/,2024-10-13,,ΚΟΙΝΩΝΙΑ,"Η δράση των εθελοντών πυροσβεστών στην Ελλάδα. Γιατί προσφέρουν, πώς εκπαιδεύονται, ποια είναι τα αιτήματά τους",
«Δεν είναι το ζητούμενο να μείνουν όρθιοι μερικοί κορμοί»,https://www.kathimerini.gr/society/563260153/den-einai-to-zitoymeno-na-meinoyn-orthioi-merikoi-kormoi/,2024-10-08,,ΚΟΙΝΩΝΙΑ,Βολές από το Επιμελητήριο Περιβάλλοντος και Βιωσιμότητας κατά του τρόπου υλοποίησης του προγράμματος «Antinero».,
Πυρκαγιές: Αύξηση τον Σεπτέμβριο – Εντονότερες και στο τέλος της αντιπυρικής περιόδου,https://www.kathimerini.gr/society/563257573/pyrkagies-ayxisi-ton-septemvrio-entonoteres-kai-sto-telos-tis-antipyrikis-periodoy/,2024-10-05,,ΚΟΙΝΩΝΙΑ,Ο Κώστας Λαγουβάρδος του ΕΑΑ και ο Ιωάννης Γήτας του ΑΠΘ εξηγούν τι σημαίνει το ξέσπασμα όλο και περισσότερων πυρκαγιών Σεπτέμβριο και Οκτώβριο. Επιτακτική η ανάγκη παράτασης της αντιπυρικής περιόδου και διαφορετικής διαχείρισης του προσωπικού.,
Βαγγέλης Γκουντούφας: Είναι χρέος μας η Πεντέλη να γίνει ξανά δάσος,https://www.kathimerini.gr/opinion/geyma-me-thn-k/563256805/vaggelis-gkoyntoyfas-einai-chreos-mas-i-penteli-na-ginei-xana-dasos/,2024-10-06,,ΓΕΥΜΑ ΜΕ ΤΗΝ «Κ»,"Με ήπιες δραστηριότητες, περιπατητικές, ορειβατικές, ποδηλατικές, να καλλιεργήσουμε τον ψυχικό δεσμό του κόσμου με το φυσικό περιβάλλον.",
"Φωτιά στην Κορινθία: Αντιδήμαρχος, ύποπτος εμπρησμού",https://www.kathimerini.gr/society/563251933/fotia-stin-korinthia-antidimarchos-ypoptos-emprismoy/,2024-10-03,,ΚΟΙΝΩΝΙΑ,"Του επεβλήθη πρόστιμο για θερμές εργασίες σε μελίσσια στις 29 Σεπτεμβρίου, παρά τον υψηλό δείκτη επικινδυνότητας.",
Σε ύφεση η φωτιά στο Ξυλόκαστρο Κορινθίας – Στο σημείο ισχυρές πυροσβεστικές δυνάμεις,https://www.kathimerini.gr/society/563250925/se-yfesi-i-fotia-sto-xylokastro-korinthias-sto-simeio-ischyres-pyrosvestikes-dynameis/,2024-10-02,,ΚΟΙΝΩΝΙΑ,«Στάχτη» περίπου 65.000 στρέμματα.,
Φωτιά στην Κορινθία: Χάρτης του Meteo με τις καμένες εκτάσεις,https://www.kathimerini.gr/society/563250814/fotia-stin-korinthia-chartis-toy-meteo-me-tis-kamenes-ektaseis/,2024-10-02,,ΚΟΙΝΩΝΙΑ,Αποτυπώνονται επίσης όλες οι πυρκαγιές που έχουν επηρεάσει την Π.Ε. Κορινθίας από το 2010 μέχρι και σήμερα.,
Φωτιά στο Ξυλόκαστρο: Χωρίς ενεργό μέτωπο – Μάχη με διάσπαρτες εστίες,https://www.kathimerini.gr/society/563250499/fotia-sto-xylokastro-choris-energo-metopo-machi-me-diaspartes-esties/,2024-10-02,,ΚΟΙΝΩΝΙΑ,"Ενισχύθηκαν οι επίγειες δυνάμεις, ενώ με το πρώτο φως της ημέρας ξεκίνησαν να επιχειρούν και τα εναέρια μέσα.",
Φωτιά στην Κορινθία: Μάχη σε δύσβατα σημεία – Επεσε η ένταση των ανέμων,https://www.kathimerini.gr/society/563249494/fotia-stin-korinthia-machi-se-dysvata-simeia-epese-i-entasi-ton-anemon/,2024-10-01,,ΚΟΙΝΩΝΙΑ,"Διάσπαρτες εστίες εντοπίζονται σε Ευρωστίνα, Ξανθοχώρι, Σοφιανά, Κουμαριά Ριζενών, Χελυδόρεο και Ανω Πιτσά.",
Φωτιά στην Κορινθία: Ο καπνός έφθασε μέχρι την Κρήτη,https://www.kathimerini.gr/society/563249371/fotia-stin-korinthia-o-kapnos-diakrinetai-poly-kathara-mechri-tin-kriti/,2024-10-01,,ΚΟΙΝΩΝΙΑ,"Σύμφωνα με τον διευθυντή της ΕΜΥ, Θεόδωρο Κολυδά, ο καπνός διαχέεται και σε μεγάλο μέρος του νοτιοανατολικού Κρητικού πελάγους, «περίπου 700 χλμ. μακριά από την εστία της πυρκαγιάς».",
Φωτιά στην Κορινθία: Νon-stop αντιπυρική περίοδος,https://www.kathimerini.gr/society/reportaz/563248960/fotia-stin-korinthia-non-stop-antipyriki-periodos/,2024-10-01,,ΡΕΠΟΡΤΑΖ,"Η μεγαλύτερη φωτιά στη χώρα μας το δίμηνο Σεπτεμβρίου – Οκτωβρίου τουλάχιστον από το 2000, σύμφωνα με τις πρώτες εκτιμήσεις έχει κάψει μία έκταση από 83.000 έως 110.000 στρέμματα στην περιοχή. Οι συνθήκες ήταν ιδανικές για να εξαπλωθεί πολύ γρήγορα.",
Μαίνεται για τρίτη ημέρα η φωτιά στην Κορινθία – Πού εστιάζονται οι επιχειρήσεις,https://www.kathimerini.gr/society/563248768/mainetai-gia-triti-imera-i-fotia-stin-korinthia-poy-estiazoyn-oi-epicheiriseis/,2024-10-01,,ΚΟΙΝΩΝΙΑ,"Ενισχύθηκαν οι εναέριες δυνάμεις που επιχειρούν στη φωτιά που καίει για τρίτη ημέρα στην Κορινθία, σε δασική έκταση στα Ροζενά Ξυλοκάστρου. Οπως έγινε γνωστό από την Πυροσβεστική, οι δυνάμεις αντιμετωπίζουν διάσπαρτες εστίες σε όλη την περίμετρο της πυρκαγιάς, κυρίως προς Ευρωστίνα. Ισχυρές παραμένουν οι επίγειες δυνάμεις υπό τον φόβο των αναζωπυρώσεων. Συγκεκριμένα στο πεδίο επιχειρούν […]",
Φωτιά στην Κορινθία: Ολονύχτια μάχη με τις αναζωπυρώσεις,https://www.kathimerini.gr/society/563247601/fotia-stin-korinthia-olonychtia-machi-me-tis-anazopyroseis/,2024-09-30,,ΚΟΙΝΩΝΙΑ,"Συνεχίζονται για δεύτερη νύχτα οι επιχειρήσεις της πυροσβεστικής για την κατάσβεση της μεγάλης πυρκαγιάς που ξέσπασε την Κυριακή στην Κορινθία, οδηγώντας, μεταξύ άλλων, στον θάνατο δύο ατόμων.",
Φωτιά στην Κορινθία: Σε μήκος 32 χιλιομέτρων oι εστίες – Πώς εξαπλώθηκε γρήγορα η πυρκαγιά,https://www.kathimerini.gr/life/environment/563246797/fotia-stin-korinthia-se-mikos-32-chiliometron-to-metopo-giati-xefyge-i-pyrkagia/,2024-09-30,,ΠΕΡΙΒΑΛΛΟΝ,Στην περιοχή επιχειρούν ισχυρές επίγειες και εναέριες δυνάμεις. Η δύσκολη μάχη της οριοθέτησης.,
Μαίνεται η φωτιά στην Κορινθία – Ηχησε το 112,https://www.kathimerini.gr/society/563246158/mainetai-i-fotia-stin-korinthia-ichise-to-112/,2024-09-29,,ΚΟΙΝΩΝΙΑ,"Μήνυμα από το 112 έλαβαν οι πολίτες που βρίσκονται στην περιοχή Πύργος της Κορινθίας, όπου από το πρωί της Κυριακής μαίνεται δασική πυρκαγιά.",
Σε κρας τεστ υποβλήθηκαν τα κλιματικά μοντέλα,https://www.kathimerini.gr/society/563243434/se-kras-test-ypovlithikan-ta-klimatika-montela/,2024-09-28,,ΚΟΙΝΩΝΙΑ,"Επιστήμονες ανέπτυξαν ένα σύστημα αξιολόγησης των υπαρχόντων εργαλείων, ενώ διαπιστώνουν τον ιδιαίτερο ρόλο της θάλασσας.",
Η κατάσβεση «ειδικών» πυρκαγιών,https://www.kathimerini.gr/opinion/readers/563241370/i-katasvesi-eidikon-pyrkagion/,2024-09-27,,ΓΡΑΜΜΑΤΑ ΑΝΑΓΝΩΣΤΩΝ,"Σε μεγάλες πυρκαγιές σε δεξαμενές υγρών καυσίμων δεν γίνεται απόπειρα κατάσβεσης της φωτιάς αν πρώτα δεν έχει εξασφαλιστεί η απαιτούμενη ποσότητα των πυροσβεστικών υλικών και μέσων όπως του αφρού πυρόσβεσης, των μέσων εκτόξευσης και της ανάλογης ανθρωποδύναμης. Μα θα ρωτήσει κανείς, υπολογίζονται αυτά τα πράγματα; Η απάντηση είναι ναι, […]",
Ευρωπαϊκός κανονισμός που φέρνει σειρά προβλημάτων,https://www.kathimerini.gr/economy/563237533/eyropaikos-kanonismos-poy-fernei-seira-provlimaton/,2024-09-25,,ΔΙΕΘΝΗΣ ΟΙΚΟΝΟΜΙΑ,Η απαγόρευση εισαγωγών προϊόντων από αποψιλωμένα δάση θα αυξήσει τις τιμές και θα πλήξει τις αναπτυσσόμενες χώρες.,
Ντιμπέιτ – ΠΑΣΟΚ: Συντροφικά μαχαιρώματα από τους 6 «μονομάχους»,https://www.kathimerini.gr/politics/563237032/ntimpeit-pasok-syntrofika-machairomata-apo-toys-6-monomachoys/,2024-09-25,,ΠΟΛΙΤΙΚΗ,"Νίκος Ανδρουλάκης, Παύλος Γερουλάνος, Νάντια Γιαννακοπούλου, Αννα Διαμαντοπούλου, Χάρης Δούκας και Μιχάλης Κατρίνης παρουσίασαν τις θέσεις τους και διασταύρωσαν τα ξίφη τους σε έξι θεματικές ενότητες.",
Συνολικά 30 δασικές πυρκαγιές στη χώρα το τελευταίο 24ωρο,https://www.kathimerini.gr/society/563233159/synolika-30-dasikes-pyrkagies-sti-chora-to-teleytaio-24oro/,2024-09-21,,ΚΟΙΝΩΝΙΑ,"Οι 24 από αυτές αντιμετωπίστηκαν άμεσα, στο αρχικό τους στάδιο.",
Η Λισαβόνα ζήτησε τη συνδρομή του ευρωπαϊκού μηχανισμού rescEU για την αντιμετώπιση των πυρκαγιών,https://www.kathimerini.gr/world/563223145/i-lisavona-zitise-ti-syndromi-toy-eyropaikoy-michanismoy-resceu-gia-tin-antimetopisi-ton-pyrkagion/,2024-09-16,,ΚΟΣΜΟΣ,Η πορτογαλική κυβέρνηση ζήτησε σήμερα τη συνδρομή του μηχανισμού Πολιτικής Προστασίας της Ευρωπαϊκής Ενωσης (rescEU) για να αντιμετωπίσει τις δασικές πυρκαγιές που μαίνονται στο κεντρικό και βόρειο τμήμα της χώρας.,
Η Ελλάδα στέλνει βοήθεια στην Πορτογαλία για τις πυρκαγιές – Το μήνυμα της Φον ντερ Λάιεν,https://www.kathimerini.gr/world/563222713/i-ellada-stelnei-voitheia-stin-portogalia-gia-tin-antimetopisi-pyrkagion/,2024-09-16,,ΚΟΣΜΟΣ,"«Αυτή είναι η αλληλεγγύη της Ε.Ε. στα καλύτερά της», γράφει η Ούρσουλα φον ντερ Λάιεν.",
Πυροσβεστική: 31 δασικές πυρκαγιές το τελευταίο 24ωρο,https://www.kathimerini.gr/society/563221504/pyrosvestiki-31-dasikes-pyrkagies-to-teleytaio-24oro/,2024-09-14,,ΚΟΙΝΩΝΙΑ,"25 αντιμετωπίστηκαν άμεσα, ενώ οι πυροσβεστικές δυνάμεις δίνουν ακόμη μάχη σε 6 μέτωπα.",
Η πευκοφοβία «καίει» το Μάτι,https://www.kathimerini.gr/society/563220271/i-peykofovia-kaiei-to-mati/,2024-09-16,,ΚΟΙΝΩΝΙΑ,Τοπικός εμφύλιος για τα οικόπεδα: αποψιλώνονται προκειμένου να μην ξαναφυτρώσει το εύφλεκτο είδος.,
Γιατί η πυρκαγιά στον Εβρο έγινε παγκόσμιο case study,https://www.kathimerini.gr/life/environment/563212690/giati-i-pyrkagia-ston-evro-egine-pagkosmio-case-study/,2024-09-14,,EXPLAINERS,"Οι δασικές μεγα-πυρκαγιές στον Εβρο, στον Αμαζόνιο και τη Νότια Αμερική αλλά και στον Καναδά αποτέλεσαν μέρος της έκθεσης State of Wildfires 2023–2024. Ο Γαβριήλ Ξανθόπουλος, ένας εκ των συντακτών, μιλάει στην «Κ» για όλες τις παραμέτρους γύρω από την καταστροφική πυρκαγιά του περσινού Αυγούστου.",
"Η Nova στηρίζει έμπρακτα την Αττική ως Ανάδοχος Αποκατάστασης και Αναδάσωσης της περιοχής της Ιεράς Μονής Πεντέλης, σε συνέχεια της καταστροφικής πυρκαγιάς του Αυγούστου 2024",https://www.kathimerini.gr/pages/announcements/563210635/i-nova-stirizei-emprakta-tin-attiki-os-anadochos-apokatastasis-kai-anadasosis-tis-periochis-tis-ieras-monis-pentelis-se-synecheia-tis-katastrofikis-pyrkagias-toy-aygoystoy-2024/,2024-09-09,,ΔΕΛΤΙΑ ΤΥΠΟΥ,"Η πρωτοβουλία αυτή αποτελεί μέρος του προγράμματος εταιρικής υπευθυνότητας της Nova, για την ανακούφιση και υποστήριξη των πληγεισών περιοχών από μεγάλες φυσικές καταστροφές   Αθήνα, 6 Σεπτεμβρίου 2024. H Nova, μέλος της United Group του κορυφαίου παρόχου τηλεπικοινωνιών και media στη Νοτιοανατολική Ευρώπη, πιστή στη δέσμευσή της προς το περιβάλλον, τις τοπικές κοινωνίες και τη […]",
Σάμος: Συνελήφθη 28χρονος για εμπρησμό,https://www.kathimerini.gr/society/563207281/samos-synelifthi-28chronos-gia-emprismo/,2024-09-06,,ΚΟΙΝΩΝΙΑ,"Ο συλληφθείς κρατείται και θα οδηγηθεί την Κυριακή ενώπιον της ανακρίτριας, προκειμένου να απολογηθεί.",
Καστρί 1974: Λίγο πριν από την 3η του Σεπτέμβρη,https://www.kathimerini.gr/istoria/563199064/kastri-1974-ligo-prin-apo-tin-3i-toy-septemvri/,2024-09-02,,ΙΣΤΟΡΙΑ,Οι πολλές πηγές του κειμένου και ένας διάλογος του συντάκτη της Διακήρυξης με τον πρώτο της μεταφραστή.,
Τα μαθήματα του φετινού καλοκαιριού για το κλίμα,https://www.kathimerini.gr/society/563196145/ta-mathimata-toy-fetinoy-kalokairioy-gia-to-klima/,2024-08-31,,ΓΡΑΦΗΜΑΤΑ,Καύσωνες και μελτέμια από τον Ιούνιο.,
"Βοήθεια 101,5 εκατ. από Ε.Ε. για τις πλημμύρες του 2023 στη Θεσσαλία",https://www.kathimerini.gr/economy/563191165/voitheia-101-5-ekat-apo-e-e-gia-tis-plimmyres-toy-2023-sti-thessalia/,2024-08-28,,ΟΙΚΟΝΟΜΙΑ,"Την παροχή βοήθειας στην Ελλάδα ύψους 101,5 εκατ. ευρώ, προκειμένου να αντιμετωπίσει τις συνέπειες των πλημμυρών του περασμένου Σεπτεμβρίου, κυρίως στη Θεσσαλία από τον «Daniel», εισηγήθηκε χθες η Ευρωπαϊκή Επιτροπή.",
Handelsblatt: Ζημιές δισεκατομμυρίων στην Ελλάδα λόγω της κλιματικής κρίσης,https://www.kathimerini.gr/economy/563190670/handelsblatt-zimies-disekatommyrion-stin-ellada-logo-tis-klimatikis-allagis/,2024-08-27,,ΟΙΚΟΝΟΜΙΑ,"«Μετά την κρίση χρέους η Ελλάδα απειλείται τώρα από την κλιματική κρίση», γράφει η οικονομική επιθεώρηση Handelsblatt. Και μία τέτοια κρίση «θα αποτελέσει μία σοβαρή οικονομική δοκιμασία για την πιο χρεωμένη χώρα της Ευρώπης».",
Τι άλλο πρέπει να μάς συμβεί;,https://www.kathimerini.gr/opinion/563189308/ti-allo-prepei-na-mas-symvei/,2024-08-27,,ΑΠΟΨΕΙΣ,"Εκείνο το εφιαλτικό που ακούγαμε ότι κάπου μακριά από εμάς συνέβαινε, δεν έφθασε απλώς στη «γειτονιά» μας. Μπήκε ήδη στα σπίτια μας. Λειψυδρία εξαιτίας της παρατεταμένης ανομβρίας και ξηρασίας, «νέου τύπου» καταστροφικές πυρκαγιές, μόλυνση του αέρα, του εδάφους ή και των υδάτων, υπερκατανάλωση που οδηγεί είτε σε, μέσω δηλητηριωδών ουσιών, αύξηση της παραγωγής είτε σε […]",
Δεν μαθαίνουμε· θα το ξαναπάθουμε,https://www.kathimerini.gr/opinion/563186797/den-mathainoyme-tha-to-xanapathoyme/,2024-08-25,,ΑΠΟΨΕΙΣ,"Οι μεγάλες δασικές πυρκαγιές, ιδιαίτερα στην Αττική, μας φέρνουν σε απόγνωση και αμηχανία. Επικρατεί διάθεση πένθους και παραίτησης. Το θέμα θα συζητηθεί, για πολλοστή φορά, στη Βουλή τον Σεπτέμβριο, αλλά κανείς δεν περιμένει να γίνει σοφότερος. Τα κόμματα έχουν ήδη αρχίσει να κοκορομαχούν – τα χρόνια ανακλαστικά δύσκολα αποβάλλονται.",
Φωτιά στη Ρόδο: Νέα εστία σε απόσταση 2 χιλιομέτρων,https://www.kathimerini.gr/society/563182342/fotia-sti-rodo-nea-estia-se-apostasi-2-chiliometron/,2024-08-21,,ΚΟΙΝΩΝΙΑ,Η νέα πυρκαγιά ελέγχθηκε άμεσα ενώ για το περιστατικό έχει επιληφθεί η ΕΛ.ΑΣ. και το ανακριτικό τμήμα του Πυροσβεστικού Σώματος.,
Βραζιλία: Καίγεται το μεγαλύτερο τροπικό δάσος του πλανήτη – «Δυσκολευόμαστε να αναπνεύσουμε»,https://www.kathimerini.gr/world/563181769/vrazilia-kaigetai-to-megalytero-tropiko-dasos-toy-planiti-dyskoleyomaste-na-anapneysoyme/,2024-08-21,,ΚΟΣΜΟΣ,Το μεγαλύτερο τροπικό δάσος του πλανήτη καταστρέφεται τις τελευταίες εβδομάδες από τρομερές πυρκαγιές που έχουν ξεσπάσει εξαιτίας της ακραίας ξηρασίας.,
